Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
11,rothamathoth,"Jun 26th, 2020 3:54 pm","June 30, 2020","Jul 16th, 2020 5:59 pm",,,83,50% off,,Restaurants,[DoorDash] 50% off your first order,24900,-1
12,gananoque,"Jul 16th, 2020 1:54 pm",,"Jul 16th, 2020 5:55 pm",Home & Garden,,6,,,Home Improvement & Tools,Worx Canada Ebay Store Tools and Accessories Sale,1671,7
13,rokask,"May 22nd, 2020 8:37 pm",,"Jul 16th, 2020 5:45 pm",Computers & Electronics,,132,,,Telecom,Internet (ON) 75/10 $43 or 50/10 $40. 1 year contract,29469,5
14,misterlamed,"Jul 6th, 2020 9:17 am",,"Jul 16th, 2020 5:42 pm",Computers & Electronics,,39,,,Telecom,[YMMV] [ON] Altima Home Internet Down 50 Mbps 39.99$ 75Mbps 49.99$ 150Mbps 59.99$,5565,-2
15,deal_with_singh,"Jul 14th, 2020 1:53 pm",,"Jul 16th, 2020 5:42 pm",Financial Services,,35,,National Bank,Banking & Investing,National Bank Direct Brokerage - $0.99 commission for Active Traders! (100+Trades per 3 months),5718,-1
16,WCDave,"Jul 5th, 2020 1:12 am",,"Jul 16th, 2020 5:40 pm",Restaurants,,22,25%,,Coffee & Desserts,Detour Coffee - 25% off first three orders for new subscriptions,4187,12
17,GabbyWC,"Jun 15th, 2020 8:49 am",,"Jul 17th, 2020 9:37 am",Computers & Electronics,$326.35,188,,,Cell Phones,Xiaomi Redmi Note 9 Pro 6 GB RAM / 128 GB Storage Global Version Android Phone for $326.35,33447,0
18,blue_lammer,"Jun 27th, 2020 3:31 pm",,"Jul 16th, 2020 5:36 pm",Automotive,99.99,33,50%,Amazon.ca,Auto Parts & Accessories,$99 Aukey DR03D Front-Back 1080P Dash Cam,7962,12
19,weedb0y,"Jul 6th, 2020 10:28 pm",,"Jul 16th, 2020 5:29 pm",,59.45,14,,Amazon.ca,Sports & Fitness,"MuscleTech Whey Protein, Triple Chocolate Brownie, 6 Pound for $59.45 no tax",3902,-4
20,Nexzen,"Jul 8th, 2020 2:38 pm",,"Jul 16th, 2020 5:26 pm",Entertainment,,27,,,"Books, Music, Movies, Magazines",3 Months Free Amazon Music Unlimited,6650,13
21,bLuPhYrE,"Jun 13th, 2020 3:16 pm",,"Jul 16th, 2020 5:18 pm",,,17,,Domino's Pizza,Restaurants,50% off all pizzas (YMMV) (Mississauga / Brampton),8239,13
22,ryansluman,"Jun 15th, 2020 1:54 pm","July 16, 2020","Jul 16th, 2020 5:11 pm",,,237,,Canadian Tire,Financial Services,YMMV? Credit Karma offering 50 CT dollars to activate triangle MasterCard,33197,22
23,Angultra,"Jul 10th, 2020 9:25 pm",,"Jul 16th, 2020 5:10 pm",Computers & Electronics,64.99,124,,Nintendo,Video Games,NES and SNES Classic mini systems (refurbished) - $64.99 / $89.99,24128,52
24,Minimo07,"Jul 16th, 2020 4:38 pm","July 16, 2020","Jul 16th, 2020 5:02 pm",,50.99,4,$57,,Computers & Electronics,"Amazon Lightning Deal, ends at 5:10 $50.99 Monitor+Laptop Mount: Screens Up to 22lbs, Notebook up to 15.6”",2217,0
25,immad01,"Jul 16th, 2020 4:56 pm","July 22, 2020","Jul 16th, 2020 4:56 pm",,20,0,,Real Canadian Superstore,Home & Garden,Tera Gear 13.7 x 9.8 inch cast iron griddle for $20 (GTA),732,0
26,danzerino,"Jul 13th, 2020 6:44 pm",,"Jul 16th, 2020 4:50 pm",,,85,,Costco,Computers & Electronics,iPhone XS 64 GB for $889.99,20296,-73
27,Presents,"Jul 13th, 2020 2:14 pm","July 19, 2020","Jul 16th, 2020 4:45 pm",,,32,14% off,Costco,Entertainment,iTunes gift cards - $21.49 for $25 | $84.99 for $100 | $167.99 for $200 (Members only),6679,27
28,riseagainstthemachine,"Jul 2nd, 2020 10:03 am",,"Jul 17th, 2020 9:17 am",,free,92,,,Apparel,Kits - Free Glasses! Just pay shipping.,25370,0
29,gasking,"Jun 28th, 2020 8:49 pm",,"Jul 16th, 2020 4:40 pm",Home & Garden,199.99,67,,,Appliances,Ninja Foodi Digital Air Fryer Oven $199.99 with promo code FOODI30,17733,15
0,gasking,"Jun 28th, 2020 8:49 pm",,"Jul 16th, 2020 4:40 pm",Home & Garden,199.99,67,,,Appliances,Ninja Foodi Digital Air Fryer Oven $199.99 with promo code FOODI30,17735,15
1,skyc88,"Jul 15th, 2020 2:54 pm","July 22, 2020","Jul 16th, 2020 4:39 pm",Beauty & Wellness,$7.47,7,44%,Home Hardware,Other,sea foam for motor treatment $7.47 & Gorilla Duck Tape $3.87,2293,3
2,vanquisher,"Jul 16th, 2020 12:36 am","July 24, 2020","Jul 16th, 2020 4:34 pm",Computers & Electronics,9.96,11,,Walmart,Video Games,Battlefield V PS4 & XBOXONE $9.96,2455,2
3,ashwani2k,"Jun 30th, 2020 2:37 pm",,"Jul 16th, 2020 4:34 pm",Computers & Electronics,181,95,,Amazon.ca,Cell Phones,"$181: UMIDIGI F1 Smartphone 6.3"" FHD+ 128GB ROM 4GB RAM 5150mAh",17436,0
4,titaniumtux,"May 25th, 2020 2:34 pm","August 30, 2020","Jul 16th, 2020 4:30 pm",Financial Services,100k pts,874,,President's Choice,Credit Cards,Get 100k PC Optimum Points when you sign up for a PC Financial MasterCard,140192,164
5,kingivan,"Jul 16th, 2020 4:01 pm","July 21, 2020","Jul 16th, 2020 4:21 pm",Small Business,4.99,2,@.00,Staples,Office Supplies,"HP 20lb Paper 500 sheets $4.99, $2.00off",917,0
6,Blackdove77,"Jul 6th, 2020 12:49 pm","July 19, 2020","Jul 16th, 2020 7:37 pm",Computers & Electronics,,517,100%,,Video Games,Watchdogs 2 PC version free for Everyone,79986,0
7,idiotcanuck,"Jul 3rd, 2020 11:58 am","July 7, 2020","Jul 16th, 2020 4:21 pm",,,61,65%,,Apparel,Goggles4U Online Prescription Glasses 65% Off Total Order Promo Code,11803,15
8,GentlemanDemon,"Jul 13th, 2020 3:44 pm","July 18, 2020","Jul 16th, 2020 4:19 pm",,,32,,,Home & Garden,SharkClean.com up to $150 discount,5586,8
9,bobmtb,"May 22nd, 2020 2:53 pm",,"Jul 16th, 2020 4:18 pm",Automotive,,442,,,Auto Parts & Accessories,Potential pricing error deal: U-Haul trailer hitches,95993,106
10,ElDealioSupremo,"Jul 13th, 2020 6:25 pm","July 17, 2020","Jul 16th, 2020 4:17 pm",Computers & Electronics,199,18,65%,Best Buy,Home Theatre & Audio,Harmon Kardon Onyx Studio 5 BT Speaker $199.99 ($579.99 original price),6982,1
11,NakedAngel,"Jul 16th, 2020 2:41 pm","July 18, 2020","Jul 16th, 2020 4:05 pm",,,3,80%,,Apparel,Styledemocracy Valentino Online Warehouse Up to 80% Off,911,-3
