,tabpfn_ausreisser_wert,tabpfn_ausreisser_wert_norm
139,247052.17,3.742002e-18
140,1997111.9,7.8966824e-17
141,100879120000000.0,4.336203e-09
142,24649126.0,1.0526443e-15
143,289426270.0,1.2433864e-14
144,135058160.0,5.798482e-15
145,159996.78,0.0
146,2031273500.0,8.730568e-14
147,20670319000.0,8.8848915e-13
148,4680473600.0,2.011793e-13
149,1300092000000.0,5.588334e-11
150,11642467000.0,5.0043465e-13
151,3688773.0,1.5168143e-16
152,22684722.0,9.682061e-16
153,7090282500.0,3.0476286e-13
154,2285435000000000.0,9.823748e-08
155,252487.64,3.975641e-18
156,478941820.0,2.0580027e-14
157,364446340.0,1.5658537e-14
158,1041874.7,3.790677e-17
159,59109540.0,2.5338959e-15
160,20394783000.0,8.7664544e-13
161,1661502.9,6.454096e-17
162,85816140000.0,3.688727e-12
163,214646580.0,9.219523e-15
164,127579100.0,5.4770014e-15
165,21518338.0,9.1807e-16
166,977679940000.0,4.202473e-11
167,45656030.0,1.9556083e-15
168,5830460.5,2.4374006e-16
169,21929496.0,9.357433e-16
170,40625308.0,1.7393669e-15
171,346925040000.0,1.491227e-11
172,5557082600.0,2.3885958e-13
173,404470.12,1.0508478e-17
174,239415.02,3.4137248e-18
175,100084310000.0,4.302032e-12
176,96706710.0,4.149978e-15
177,27317273000.0,1.1742029e-12
178,479068260.0,2.0585462e-14
179,479221220.0,2.0592037e-14
180,549822.9,1.6756342e-17
181,1730194.9,6.7493623e-17
182,15572713000.0,6.693729e-13
183,134043404000000.0,5.7617413e-09
184,259556.02,4.2794685e-18
185,429296480000000.0,1.8452942e-08
186,274727740.0,1.1802061e-14
187,40107108.0,1.7170925e-15
188,949717800000.0,4.0822803e-11
189,39383680.0,1.6859966e-15
190,1986920.1,7.852874e-17
191,96481960000.0,4.147188e-12
192,14610601.0,6.211469e-16
193,13300662000.0,5.7171076e-13
194,44652384.0,1.9124674e-15
195,14257653.0,6.0597573e-16
196,2722645800.0,1.1702374e-13
197,8303184000000000.0,3.5690528e-07
198,831257600000000.0,3.57309e-08
199,107172056.0,4.5998217e-15
200,12889068.0,5.471483e-16
201,6388752.5,2.6773774e-16
202,76217020.0,3.2692465e-15
203,1952939400.0,8.393856e-14
204,803730400.0,3.454079e-14
205,40464880.0,1.732471e-15
206,535950660000.0,2.3037374e-11
207,37402260.0,1.6008268e-15
208,2679047.5,1.0827925e-16
209,2712642.5,1.097233e-16
210,12681775.0,5.38238e-16
211,20950323000.0,9.005249e-13
212,30220872000.0,1.2990116e-12
213,165731.64,2.465081e-19
214,2565372.2,1.0339301e-16
215,203912.45,1.8876774e-18
216,8816253.0,3.720818e-16
217,17233864.0,7.339056e-16
218,1153117000.0,4.9558875e-14
219,467267.16,1.3207755e-17
220,1136207.5,4.1961585e-17
221,225608250000.0,9.697572e-12
222,114312190000000.0,4.913612e-09
223,4201493800000000.0,1.8059762e-07
224,24272762.0,1.0364666e-15
225,1001514.25,3.617191e-17
226,149971580000.0,6.4463938e-12
227,46023176000.0,1.97826e-12
