Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
26,scott m.,"jul 8th, 2020 9:50 pm","july 20, 2020","jul 14th, 2020 9:05 pm",computers & electronics,243.13,13,33%,walmart,cell phones,ticwatch pro 2020 for 33% off (now 243.13 all-in)... or cheaper?,4685,0
27,keenoz,"jul 13th, 2020 6:18 am","july 20, 2020","jul 14th, 2020 9:05 pm",computers & electronics,243.13,47,80-85%,the source,video games,[uplay/steam] far cry 5 (11.99$) - far cry 4 (7.99$) - far cry 3 (3.90$),6577,17
28,mymuro,"jul 11th, 2020 12:20 am","july 14, 2020","jul 14th, 2020 8:56 pm",entertainment,$23.99,59,60% off,microsoft store,"books, music, movies, magazines","naruto, steins gate, sword art online, overlord *free",20397,125
29,dealmonk,"jul 5th, 2020 12:30 am","july 30, 2020","jul 14th, 2020 8:13 pm",computers & electronics,89,4,55% off,urban outfitters,home theatre & audio,marshall major iii bluetooth headphones $89.00 - white and black color only,3488,3
0,redflagdealsguy,"jun 21st, 2020 1:18 am",_nan_,"jul 14th, 2020 8:08 pm",home & garden,449.00,287,_nan_,amazon.ca,computers & electronics,"acer aspire 5 slim laptop [tinkerer rig] - $449 + upgrade costs - ryzen 3 3200u + 15.6"" ips fhd",57770,91
1,sammyc,"jul 13th, 2020 8:47 am","june 25, 2020","jul 14th, 2020 8:00 pm",home & garden,69.99,12,99.99,costco,other,global ni oriental 20 cm (8 in.) chef's knife - 69.99$ (online),2892,6
2,immad01,"jul 14th, 2020 8:00 pm","june 12, 2020","jul 14th, 2020 8:00 pm",computers & electronics,$599.99,0,_nan_,amazon.ca,televisions,insignia 58-inch 4k uhd hdr led smart tv - fire tv edition for $599.99,851,-3
3,carlosf1,"jun 12th, 2020 1:30 pm","june 11, 2020","jul 14th, 2020 7:51 pm",entertainment,45.96/41.8,59,60% off,microsoft,computers & electronics,pre order xiaomi mi band 5 smart bracelet 4 color amoled screen - c$45.96 / c$41.82 with code (new users),15570,13
4,sprung,"jul 14th, 2020 2:03 pm",_nan_,"jul 14th, 2020 7:49 pm",sports & fitness,599,9,_nan_,canadian tire,equipment,toronto bike share deals for caa members,1955,5
5,tinkerphil,"jul 7th, 2020 10:12 pm","july 8, 2020","jul 14th, 2020 7:23 pm",home & garden,894,11,$24 off,home depot,appliances,ymmv lg washing machine wm3800hb for $894,4086,-1
6,secretalcoholic,"jul 2nd, 2020 12:21 am","december 31, 2020","jul 14th, 2020 6:59 pm",computers & electronics,15 usd,41,81% off,microsoft,other,$15 usd azure & o365 certification exams for covid-19 affected individuals,11136,24
7,madmathd,"jul 14th, 2020 12:27 pm","july 9, 2020","jul 14th, 2020 6:54 pm",home & garden,299.97,3,50% off,canadian tire,appliances,super special $299.97 cusinox super elite 10 piece cookware set,1419,2
8,quek27,"jul 14th, 2020 6:39 pm","july 23, 2020","jul 14th, 2020 6:39 pm",computers & electronics,free,0,100%,steam,video games,ninja kiwi archive flash versions free,1295,0
9,drdoomsday,"jul 4th, 2020 2:35 pm","june 12, 2020","jul 14th, 2020 6:34 pm",financial services,$34.99,82,$75 off,staples,banking & investing,simplii just upped their game- get $75 for sending your first gmt of $100 (plus an additional $25 ~ $50 for referral),19379,30
10,mr_clark,"jul 14th, 2020 12:10 pm","july 15, 2020","jul 14th, 2020 6:29 pm",computers & electronics,_nan_,1,_nan_,steam,video games,hard reset redux - $1.75us - 91% off [steam],861,1
11,elfion,"may 25th, 2020 2:37 pm","june 20, 2020","jul 14th, 2020 6:00 pm",computers & electronics,142 cad,229,40%,canadian tire,cell phones,umidigi a7 pro - $142,38772,-11
12,oicthat2013,"jul 7th, 2020 10:38 am","september 7, 2020","jul 14th, 2020 5:58 pm",travel,$1.00,66,bogo,mcdonalds,restaurants,"$1 cone and $2 sundae summer promotion starting july 14, 2020",18203,44
13,jackrabbit000,"jul 13th, 2020 2:34 pm","june 28, 2020","jul 14th, 2020 5:52 pm",sports & fitness,24.49,46,30%,amazon.ca,clothing & accessories,ashlin men's bi-fold wallet w/16 card pockets - $24.49 or 30% off,7204,-8
